id,action,background,department
572266,Make feeding horses/ponies and livestock a specific criminal offence,A lot of owned animals including horses and ponies have special diets or are prone to illnesses caused by the wrong food.,"Department for Environment, Food and Rural Affairs"
656580,Require people be offered a chance to resolve environmental offence before FPN,"I believe that some local authorities are using powers to impose fixed penalty notices (FPNs) for environmental offences inappropriately, and that offenders should be given an opportunity to correct their action before an FPN can be imposed.","Department for Environment, Food and Rural Affairs"
601795,Make it a legal duty to report when a dog attacks or kills a cat,"If you are the owner of a dog that attacks a cat, or you witness a cat being attacked and killed by a dog, then you should have a legal duty to report it. More than likely it is someones pet.","Department for Environment, Food and Rural Affairs"
641134,Require health warnings on ultra-processed foods,We want the Government to require ultra-processed foods to be labelled with a health warning. Ultra-processed foods (UPFs) are known to contain ingredients which can negatively impact health. ,"Department for Environment, Food and Rural Affairs"
656232,Do not require neutering/spaying of XL Bully dogs until age of 2,We believe health risks and issues associated with spaying and neutering of young large bull breeds is too high to justify the demands set by the UK Government. There is evidence to suggest it can be high risk to neuter large dogs at a young age and we want current rules to be changed,"Department for Environment, Food and Rural Affairs"
617288,Enforce the bottle deposit (Pfand) recycling scheme in the UK,The UK Government should bring in legislation to introduce the bottle deposit recycling scheme (the same one used in Germany) to encourage the public to recycle plastic and glass bottles instead of throwing them into landfills.,"Department for Environment, Food and Rural Affairs"
588159,Remove environmental taxes from electricity to encourage heat pump installations,"Around 23% of electricity bills are made up of environmental and social levies, including the Climate Change Levy (CCL), while these levies make up just 2% of gas bills. ","Department for Environment, Food and Rural Affairs"
609606,Remove barriers to UK residents adopting rescue dogs from Ukraine,"We wish to request DEFRA urgently to waive all requirements - including a rabies test - for bringing dogs from UKRAINE temporarily, as has already been done by Poland and some other EU countries.","Department for Environment, Food and Rural Affairs"
636155,"Increase the 7-day period for stray dogs, cap kennel fees and offer instalments",The 7-day period after which a stray dog goes into council care needs to be extended as sometimes it may not be enough time for an owner to be aware and/or travel to collect their dog. Kennel fees need to be capped as some council/contractor fees are extortionate and payment plans aren't offered.,"Department for Environment, Food and Rural Affairs"
584749,Require food labels to clearly indicate if food products contain alcohol,"It is normally easy to identify if a food product is suitable for vegetarians because of the much-recognised ""V"" symbol. As a Muslim, I often select such products, only to read the ingredients list and discover that they contain alcohol, the consumption of which is forbidden in Islam.","Department for Environment, Food and Rural Affairs"
330783,"Ban the Sale, Import and Trade of Animal Fur","The outdated and unnecessary fur trade which originates from the horrific suffering of an animal has no place in civilised society. The sale, import and trade of real animal fur must be banned","Department for Environment, Food and Rural Affairs"
596493,Control pollution from agriculture in the Wye and Severn River Catchments,"1. Introduce an immediate moratorium of any new intensive poultry units in the Wye and Severn catchment areas
2. Strictly control manure spreading according to the phosphate load in the ground 
3. Monitor phosphate levels
4. Take legal action against any breaches of pollution legislation","Department for Environment, Food and Rural Affairs"
654193,Make Food Manufacturers provide both Oven and Air Fryer Instructions,"I'd like the Government to introduce a bill amending any relevant bills, so that it is a legal requirement for Food Manufacturers selling packaged food (e.g: Branded and Own Brand products) in the UK (regardless of Point of Origin), to provide Air Fryer Instructions alongside Oven Instructions.","Department for Environment, Food and Rural Affairs"
631802,Completely ban the use of whips in horse racing,The Government should ban the use of whips on race horses by jockeys. Research has found that horses are as vulnerable as humans to pain caused by whips. It's time to put an end to this cruel and unnecessary practise.,"Department for Environment, Food and Rural Affairs"
300561,Replace Breed Specific Legislation with a new statutory framework,"Breed Specific Legislation fails to achieve what Parliament intended, to protect the public. It focuses on specific breeds, which fails to appreciate a dog is not aggressive purely on the basis of its breed. It allows seizure of other breeds, but the rules are not applied homogeneously by councils.","Department for Environment, Food and Rural Affairs"
649655,Require the planting biodiverse woodland on the greenbelt,I think that much of the existing green belt in the UK is not being adequately managed or used. I think a good method to combat this would be plant native woodlands and orchards. These should be made accessible to the public.,"Department for Environment, Food and Rural Affairs"
301562,Maintain the requirement for Top 14 Allergen listing,Under EU legislation food in Britain was required to list Top 14 Allergens whereas some countries only list Top 8. I would like the government to ensure that Top 14 listing remains a requirement under British law now we have left the EU.,"Department for Environment, Food and Rural Affairs"
572535,"Deposit scheme on  glass, plastic, steel, aluminium bottles and cans.","The UK government to launch a consultation on a deposit scheme that could see a refundable charge added to the cost of single-use glass, plastic, steel and aluminium bottles and cans sold in the UK in an effort to combat pollution, reduce waste and increase recycling.","Department for Environment, Food and Rural Affairs"
637791,Take additional action to tackle climate change and protect the environment,"We want the Government to:
 

","Department for Environment, Food and Rural Affairs"
585520,Ban the sale of artificial grass,It is environmentally irresponsible to allow garden space occupied by grass & other plant life (which processes CO2 & supports wildlife) to be replaced by plastic which does not biodegrade.,"Department for Environment, Food and Rural Affairs"
334356,Make it a legal requirement to microchip pet cats,"It is currently a legal requirement for dogs to be microchipped but not cats. 
It should be a legal requirement for cats to be chipped too, this would help to prevent pet cats being stolen and help reunite lost pets to their owners.","Department for Environment, Food and Rural Affairs"
593364,Require hospitality venues to show the content of any sugar added to food items,"People have a right to know, for their own health, when products served in restaurants or fast food have added sugar. This will better allow people to avoid health risks associated with excessive consumption of artificially produced sugar.","Department for Environment, Food and Rural Affairs"
619594,Make dog attacks on cats a specific criminal offence,We want the Government to increase accountability of dog owners for when their dogs attack cats.,"Department for Environment, Food and Rural Affairs"
574908,Do not enact “secrecy clause” on environmental decisions,The Environment Bill contains a “secrecy clause” that will prohibit the Office for Environmental Protection (OEP) from revealing information and correspondence with public bodies.,"Department for Environment, Food and Rural Affairs"
331864,Make recycling a legal obligation,The UK need to make recycling a legal obligation and introduce a fixed penalty for households who fail to comply with this. Residents should all be penalised if laws aren’t followed in their building.,"Department for Environment, Food and Rural Affairs"
332971,Provide funds so Marine Conservation Zones in the UK can be properly protected.,"Authorities are failing to take action due to lack of funding. We want Government to provide the authorities with sufficient funds to carry out these obligations. Eg Studland Bay, designated an MCZ in 2019 to protect seahorses. No action taken. Government needs to back MCZs by providing resources.","Department for Environment, Food and Rural Affairs"
328537,"Change outdated laws to prevent forest felling when baby animals are in
nests","Under the 1967 Forestry Act licences to fell woodland cannot include
enforceable conditions to safeguard our rarest wildlife such as red
squirrels, bats, dormice.

https://www.independent.co.uk/environment/red-squirrels-rare-woodland-wildlife-british-outdated-tree-felling-a8665491.html","Department for Environment, Food and Rural Affairs"
584395,Create a Veterinary Services Ombudsman,An impartial Ombudsman is necessary. A Govt created Veterinary Services Ombudsman would bridge the gap between dissatisfied client and the service provider. At present the RCVS handles any issues brought to them by clients but cannot be seen to be impartial.,"Department for Environment, Food and Rural Affairs"
619390,Grant legal protection to ancient trees,"The Government should give legal rights to ancient trees to protect them from being felled or damaged, in the same way that laws are in place to protect ancient properties.","Department for Environment, Food and Rural Affairs"
653097,Fund more pet friendly emergency accommodation ,I think that the Government should fund more pet friendly emergency accommodation for those who are homeless and have pets.,"Department for Environment, Food and Rural Affairs"
571526,Make it illegal to sell dogs without a licence,"It should be an offence, with sentences of up to 8 years, to sell dogs without a licence. Currently a licence is only required if someone runs a business that breeds and sells dogs, or breeds 5 or more litters in a year and sells any of the puppies. Too many dogs are sold by unlicensed individuals.","Department for Environment, Food and Rural Affairs"
655134,"Ban all animal fur imports, including for the King's Guard's caps","This petition is calling for a complete ban on all fur imports from any and all animals, including the bear fur currently used for the King's Guards caps. We believe these caps should use a faux fur alternative, such as that created by ECOPEL and PETA instead.","Department for Environment, Food and Rural Affairs"
659337,Create a national welfare team to oversee kennels holding seized dogs,We want the Government to create an independent national welfare team to monitor kennels used by police forces. This should include checking that staff are trained to meet the welfare standards in the Animal Welfare Act 2006 and reporting those who fail to meet those standards for prosecution. ,"Department for Environment, Food and Rural Affairs"
628115,Ban the Import and Sale of Disposable Vapes,"Ban the import and sale of disposable vapes. The vapes mostly contain lithium batteries, which there is currently a global shortage. Due to being incorrectly discarded, plus the difficulties of recycling, the vapes are polluting waters and causing negative impacts to biodiversity.","Department for Environment, Food and Rural Affairs"
640715,Require warning labels on soft drinks showing sugar content,"I am asking that the Government requires health warnings on all soft drinks sold in the UK, showing how much sugar they contain. Sugar can lead to tooth decay and weight gain. Warning consumers of sugar content to could help improve people's health and reduce pressure on the NHS.","Department for Environment, Food and Rural Affairs"
661314,Protect the 'Stick of Rock' under the protected food names scheme,I would like the Government to protect the name 'stick of rock' under the UK geographical indication (GI) protected food names (PFN) scheme.,"Department for Environment, Food and Rural Affairs"
594797,Stop new exploration and production licenses for UK Off and Onshore oil and gas.,"We would like the UK government to end the exploration and development of new oil and gas fields in the UK and its territories, including the Cambo oil field. The development of new oil and gas fields undermines the UK Government’s commitment to Net-Zero by 2050 and its position as COP26 host.","Department for Environment, Food and Rural Affairs"
575879,Provide funding for nature reserves in towns,"Start funding for a plots of nature reserves inside towns, some parks could be used to help the population of our native insects, birds, hedgehogs and many other species that are being endangered. There should be no pesticides used.","Department for Environment, Food and Rural Affairs"
661400,"Ban animal traps, snares and poison that injure or kill animals",I would like the government to pass a law banning the setting of animal traps and snares which can cause injury or death to the trapped animal. Poisons can not only kill the animal that consumes the poison but can also kill predatory animals further up the food chain.,"Department for Environment, Food and Rural Affairs"
659642,Double the farming budget to support a just transition to sustainable farming,"We want the UK Government to double the farming budget. We believe this is necessary to ensure a just transition to environmental farming, protect farmers' livelihoods, invest in resilient local food systems and support more people into farming, food production and land working sectors.","Department for Environment, Food and Rural Affairs"
617137,Fund a vaccination programme for wild rabbits against Myxomatosis,It is not acceptable that such a disease is left unchecked in the wild. Myxomatosis can cause huge suffering for any rabbit infected.,"Department for Environment, Food and Rural Affairs"
318989,Action on Non Exhaust Emissions,The government should adopt as legally binding the World Health Organisation guideline levels  for PM2.5 of 10µg/m³ as an annual mean threshold by 2030.,"Department for Environment, Food and Rural Affairs"
578168,Create new requirements for breeding and selling dogs,"We want: breeding licenses for all puppy sales; proof of vaccinations for puppy, mother & father; annual visit by authorities; a limit on 2 litters in the lifetime of each breeding dog (2 years apart and then spayed); logging details of pregnant dogs; reporting of all related income.","Department for Environment, Food and Rural Affairs"
657542,Change animal protection laws to cover all endangered species,Change the animal protection laws to protect all endangered species.,"Department for Environment, Food and Rural Affairs"
625449,Ban the use of plastic gloves at petrol stations,"Plastic gloves, used in petrol stations, end up in bushes, trees, fields. They can reach rivers, lakes and oceans. Banning their use at petrol stations should help reduce harm to the environment.","Department for Environment, Food and Rural Affairs"
657324,Ban non-stun slaughter,"In modern society, we believe more consideration needs to be given to animal welfare and how livestock is treated and culled.","Department for Environment, Food and Rural Affairs"
584243,Make all garden fires illegal,Stop people burning anything in their garden as it’s bad for the environment / the air we breathe and is a nuisance to neighbours especially people with health problems.,"Department for Environment, Food and Rural Affairs"
634272,Require dogs in public places to be on a lead at all times,"People need to feel safe going for a walk with their dogs. There are too many irresponsible dog owners out there who have no recall, no training experience for themselves or their dogs. Given this, we believe dogs should be required to be on a lead whenever they are in a public place.","Department for Environment, Food and Rural Affairs"
333693,Ban the shooting of badgers immediately,"Shooting of Badgers is licensed by Natural England as part of the DEFRA Badger cull. 24,000+ Badgers were shot in 2019.","Department for Environment, Food and Rural Affairs"
619606,Regulate and license equestrian livery yards,The Government should create a regulator for equestrian livery yards/stables which requires them to hold a license in order to operate. These licenses should be dependent on the conditions below. ,"Department for Environment, Food and Rural Affairs"
555459,Make it Illegal to slaughter healthy horses and ponies in slaughter houses,"Give them a chance of life, to live & be happy in forever homes. They could be sold and re-home instead.
So no healthy and sound horses should have their rights of living taken from them.","Department for Environment, Food and Rural Affairs"
661501,Ban the use of farrowing crates,We believe farrowing crates are inhumane. The sow cannot naturally interact with their piglets and has their movement significantly restricted. We believe these crates are cruel and should be banned.,"Department for Environment, Food and Rural Affairs"
584505,Climate awareness labels on all goods sold: CO2; habit destruction; recycled %,"Help public education in our choices when buying goods with mandatory simple environmental health labelling similar to food labelling eg fat, sugar content. Instead labelling products production impact on 4 key points: CO2; habitat destruction; recycled content; exploitation transparency.","Department for Environment, Food and Rural Affairs"
635205,Give vouchers to people who can't afford special dietary foods,I would like the Government to give vouchers to people who are ill and need special dietary foods such as gluten free or lactose free foods but can't afford to buy them themselves.,"Department for Environment, Food and Rural Affairs"
658657,Impose a moratorium on the building of new waste incineration plants,We want the Government to take action to move away from greenhouse gas emissions from waste incineration. We concerned that further builds will mean we exceed the almost 45% of UK waste that is currently incinerated.,"Department for Environment, Food and Rural Affairs"
658379,Ban production of plastics and other materials that are not fully recyclable,"We want the Government to make a stand to stop corporations from mass producing products and materials that are not recyclable, which are also often not sustainable or environmentally friendly. We want laws and regulations to protect our planet, and to protect us now and in the future.","Department for Environment, Food and Rural Affairs"
639459,Record and publish numbers of companion animals euthanised in England,"Currently there is no accurate data on companion animal euthanasia. We want requirements for veterinarians, rescue organisations and pounds to record and report details on companion animal euthanasia including why, where, gender, breed, age, and breeder information. ","Department for Environment, Food and Rural Affairs"
656401,Require all restaurants and takeaways to offer half or small portions ,"In a bid to tackle obesity, we would like the Government to make it a legal requirement for restaurants and takeaways to provide half or small portions of all meal options on menus. We would like these to have a reduced price too. ","Department for Environment, Food and Rural Affairs"
645058,Introduce national system to provide animal health certificates at a fixed cost,"As vets are privatised, they charge as much as they like for the AHC. The prices vary hugely from £99-400, which is 3x-14x more expensive than the pre-Brexit European Pet Passport. We want the Government to introduce a national system to provide animal health certificates at a fixed cost. ","Department for Environment, Food and Rural Affairs"
606192,Introduce new requirements for breeders and sellers of cats and dogs,"The Government should introduce the following requirements:
 
- Every cat and dog microchipped before sale
- Mandatory registration for all breeders
- All sales to be registered by deed
- New owners required to register their ownership","Department for Environment, Food and Rural Affairs"
631568,Add health warnings to red meat and processed meat products,"We think people deserve to know the risk to health of their actions. Anybody who has purchased cigarettes or tobacco will have noticed a health warning on the packet, and rightly so. Cigarettes can cause a plethora of issues. So can some meat products, and we want mandatory health warnings on these.","Department for Environment, Food and Rural Affairs"
643033,Require anyone who breeds dogs to have a licence,"Change in the law to require anyone who breeds dogs to obtain a licence first. There are too many poor dogs being rehomed and abandoned, in part due to too many unlicensed breeders who don't care about the dogs they breed.","Department for Environment, Food and Rural Affairs"
585792,Work with councils to promote wildflower and grassland growth,The Government should work with local councils to promote the regrowth and rewilding of more green urban space. ,"Department for Environment, Food and Rural Affairs"
641754,Make publishing images or videos of animal abuse a specific criminal offence,There has been recent reports of video of animal torture and abuse being watched and paid for by people in the UK.,"Department for Environment, Food and Rural Affairs"
637355,Remove restrictions on felling of sycamore trees due to toxicity,"Remove restrictions on felling of all sycamore trees (Acer pseudoplatanus), eg. TPOs, conservation area, size rules, so all landowners have the automatic right to fell these, and it is easier for councils to remove them in public places, due to toxicity causing atypical myopathy to horses.","Department for Environment, Food and Rural Affairs"
554235,Establish a national tree-planting scheme for graduating students ,"It is vitally important to protect our environment, and tree planting is one way of helping to do so. Planting your own tree is very rewarding and has the potential to inspire and encourage local communities to protect and look after their own patches of nature.","Department for Environment, Food and Rural Affairs"
650137,Use water company fines to fund sewage warnings and improved water testing,The Government has said money from fines to water companies that pollute rivers and seas will be invested in schemes that benefit the natural environment. It will take decades to fix water quality. Some of this cash should fund immediate sewage pollution warnings and improved water quality testing.,"Department for Environment, Food and Rural Affairs"
560288,Make glue traps illegal within the UK,Make it illegal for both glue traps to be sold and used within the UK to stop the suffering of animals.,"Department for Environment, Food and Rural Affairs"
615497,Loosen requirements for British citizens to return their pets home from China.,"Due to the recent Covid epidemic in Shanghai, many UK citizens are being forced to abandon their pets as they cannot retrieve the necessary documentation from Chinese authorities. This petition seeks to provide support for UK citizens who wish to return but are unable to receive all documentation.","Department for Environment, Food and Rural Affairs"
330345,Compulsory home checks and abusers database to protect animals,"Require animal breeders and shelters to conduct home checks physically or virtually on anyone coming to them to rehome or adopt an animal. This is to provide education, ensure commitment and look out for the best interests of the animal. ","Department for Environment, Food and Rural Affairs"
560905,Ban the sale and use of Fipronil and Imidacloprid in flea treatments for pets,"The UK Government must prohibit the manufacture, sale and use of flea treatments for domestic pets that contain harmful pesticides, in order to prevent harm to aquatic life and to protect the natural environment.","Department for Environment, Food and Rural Affairs"
633198,Make all dogs no matter what breed muzzled in public,Pass law to make it illegal to have a dog unmuzzled in public,"Department for Environment, Food and Rural Affairs"
632065,Make dog attacks on cats a specific criminal offence,"Where a cat is attacked or killed by a dog, often no action is taken. We want the Government to make dog attacks on cats a specific offence under the Dangerous Dogs Act, so it is taken seriously when reported. All pets deserve to be protected. Irresponsible dog owners should be punished.","Department for Environment, Food and Rural Affairs"
623261,Ban the import and sale of real fur in the UK,Polls suggest the majority of the public in the UK are against the import and sale of real fur due to the cruelty involved and the harm that the fur industry does to the environment. The Government should ban all imports and sales of real fur in the UK.,"Department for Environment, Food and Rural Affairs"
655716,Require every police force to use the Interim Exemption Scheme,"This scheme applies to dogs suspected of being a prohibited type under section 1 of the Dangerous Dog Act 1991. If the dog is not considered to be a risk to public safety, this would allow a dog that has been seized to be released and returned to their owner pending a court hearing.","Department for Environment, Food and Rural Affairs"
586378,Give the Environment Agency the funds and freedom to protect English rivers,"The Government must reverse years of cuts to Agency budgets, increase charges for polluters, and give the Agency freedom from overly business-friendly Government codes and guidance, so it can pursue and achieve its principal statutory objective to protect and enhance English rivers","Department for Environment, Food and Rural Affairs"
653375,Require food manufacturers to disclose all ingredients in their products,"We would like the Government to require by law the disclosure of all ingredients in food products. Although the list of 14 allergens and ingredient quantities are required to be declared, we believe this isn't enough for people with specific food allergies and other dietary restrictions.","Department for Environment, Food and Rural Affairs"
580713,Ban sale and use of animal traps that cause damage or death to the animal.,The government need to bring in a law where all traps that are designed to capture “pests” are designed in a way that will not harm animals.,"Department for Environment, Food and Rural Affairs"
300225,Ban the live export of animals,"The government told us that we could not ban live export because of EU legislation.  We are no longer in the EU so live export, with exemption for breeding and sport, can be banned","Department for Environment, Food and Rural Affairs"
638398,Moratorium on release of game birds for shooting to limit spread of bird flu,"To help limit the catastrophic spread of avian influenza, call an immediate moratorium on the release of captive bred gamebirds and mallards for shooting in the UK this year. Take a precautionary approach to limit the spread of avian influenza and reduce the risk of new strains of the disease.","Department for Environment, Food and Rural Affairs"
586472,Ban the burning of peat for fuel,"The government should ban the use of peat as fuel. Instead, the government should support the development of sustainable energy sources. Peatlands should be protected from harvesting for any reason, not just for horticulture.","Department for Environment, Food and Rural Affairs"
556419,Ban the selling of real mink eyelashes,"Minks are being farmed, and will ultimately die in captivity, so that people can buy and wear eyelashes made from their fur. It’s not that hard to get synthetic lashes.","Department for Environment, Food and Rural Affairs"
639186,"
Require plants be labelled to show toxicity to companion animals
","
I want the Government to require labels on plants sold to the general public to clearly explain toxicity levels to companion animals, to enable people to protect companion animals in their home.","Department for Environment, Food and Rural Affairs"
641333,Take action to reduce plastic pollution and ban plastic bottles for drinks,"We want the Government to put legislation in place to cut single-use plastic pollution, by changing the planned Deposit Return Scheme so it only applies to plastic bottles, to increase customer returns, then making all plastic drink bottles illegal by 2030.
 
","Department for Environment, Food and Rural Affairs"
627503,Restrict 'dangerously out of control' dog offence to cases of serious injury,"Currently a dog is regarded as dangerously out of control if there is ""reasonable apprehension that it will injure any person or assistance dog, whether or not it actually does so"". We want this to be amended so that a dog is only regarded as dangerously out of control if serious injury occurs.","Department for Environment, Food and Rural Affairs"
636901,Make it a legal requirement for all domestic cats to wear a bell.,"Reduce the decline in bird populations across the country. A sizeable number of birds are killed by pet cats each year and this would be reduced if those cats wore bells.

Bird poplations have been in dramatic decline in the UK for decades and this measure may help slow the decline.","Department for Environment, Food and Rural Affairs"
658642,Launch an urgent judge-led public inquiry into the 'XL Bully' ban,"There has been much debate about every aspect of the 'XL Bully' ban and we believe a comprehensive public inquiry should be held into the decisions made, as well as what mandate from the people was used in this decision making, and subsequent actions undertaken.","Department for Environment, Food and Rural Affairs"
639377,Ban the import of bear skin or fur,We want the Government to ban the import of bear skin or fur to the UK. This would include bearskins imported by the Ministry of Defence for the caps of the Queen's Guards.,"Department for Environment, Food and Rural Affairs"
607735,Review honey authenticity and current regulation of the honey market,"Fully review the honey market and Honey Regulations, to review evidence of honey fraud within the honey market, and reform regulations and arrangements for enforcement, to prevent future fraud.","Department for Environment, Food and Rural Affairs"
660444,Overturn the law regarding calorie information on menus,"I can’t eat out, at restaurants, cafes or even meal deals. Why? Because nine months into my recovery from anorexia I am STILL plagued by calories on everything. I am asking for the law on calorie counts to be re-assessed.","Department for Environment, Food and Rural Affairs"
300221,Independent CCTV monitoring  in English abattoirs,Introduce independent monitoring CCTV monitoring of all slaughter in English abattoirs with mandatory prison sentences for any abuse of animals,"Department for Environment, Food and Rural Affairs"
584842,"Ban the import, export, sale, and use of prong & shock collars for dogs","Shock & prong dog collar ""training"" methods are unethical, and can be harmful to dogs, and are usually a quick fix to a dogs seemingly ""bad"" behaviour. Negative reinforcement doesn't support a dog to live a happy and fulfilled life, in the same way that it would not support humans.","Department for Environment, Food and Rural Affairs"
658109,Introduce new legal requirements for vets prior to euthanasia of dogs & cats,"Despite changes to the RCVS Code of Conduct dogs/cats can still legally be euthanised without being scanned. In non-emergencies, we want vets to be legally required to scan microchips prior to euthanasia for RBU and confirm the person presenting the animal is registered on the microchip.","Department for Environment, Food and Rural Affairs"
655800,Ban Greyhound Racing within 5 years,"We want the Government to phase out greyhound racing within five years, because we believe the industry is not doing enough to protect the welfare of the dogs.","Department for Environment, Food and Rural Affairs"
551649,Bring the metaldehyde slug pellet ban forward to March 2021,"Research proves that metaldehyde is a poison for wildlife, we can't allow another 18 months of damage to our countryside which includes at risk animals and already polluted soils. Please bring the date forward to 31 March 2021.","Department for Environment, Food and Rural Affairs"
638225,"Require leads, muzzles and licences for all dogs",Change the law to make it a legal requirement to keep a dog on a lead and wearing a muzzle in any public place. Also require all dog owners have a licence to own their dogs.,"Department for Environment, Food and Rural Affairs"
633355,Prohibit mass tree plantation on farmland,Impose legislation that prohibits mass plantation of trees on agricultural land. Agricultural land should not be taken out of production for the purpose of planting trees. This includes ELMS tree planting schemes that take over entire farms.,"Department for Environment, Food and Rural Affairs"
659678,Require a licence to breed and sell cats and introduce statutory guidance,"Introduce a licence for cat breeding and provide additional funding to councils to investigate unlicensed cat breeders. We also think there should be statutory guidance about breeding cats, as with dogs.","Department for Environment, Food and Rural Affairs"
601327,Ban the sale and use of rat poison.,Killing rats with poison is inhumane and is unjust to wildlife that just happens to get in the way of humans.,"Department for Environment, Food and Rural Affairs"
654929,Require cosmetic companies to state if their products are ever tested on animals,"Make it a requirement for companies to state if their products are ever tested on animals anywhere in the world. We believe they need to set this out clearly, such as on their website.","Department for Environment, Food and Rural Affairs"
560471,Fund clean up of our seas from nuclear waste and ensure proper disposal,Over the decades the seas were used as a dumping ground for nuclear waste. This could have a devastating effect on the marine life and may forever alter biodiversity. We need to ensure that those barrels are salvaged and disposed safely.,"Department for Environment, Food and Rural Affairs"
639998,Protect minors from harmful diet pills and muscle-building supplements,Ensure any retail establishment that sells over-the-counter diet pills/supplements for weight loss/muscle building must request a valid ID establishing a person as at least 18 years prior to selling them diet pills and must post a notice provided by the government communicating the dangers of them.,"Department for Environment, Food and Rural Affairs"
579356,Ban the use of animals as prizes at fairs and other events,"Introduce legislation to ban the use of pets as prizes for fair prizes, such as goldfish. 

Animals used as prizes are subjected to significant stress due to the significant amount of noises at these events and are then often given to people without the correct setup or knowledge to care for them.","Department for Environment, Food and Rural Affairs"
631948,Overturn the decision to allow use of neonicotinoid pesticides on sugar crops,The decision needs to be reversed. The health of our environment must be put first.,"Department for Environment, Food and Rural Affairs"
601415,Prohibit the sale and use in the UK of palm oil and its derivatives in foods,"We call on the Government, now a study has established that palmitic acid, a constituent of palm oil, can encourage the spread of some cancers, to end the sale and use of palm oil in Britain.","Department for Environment, Food and Rural Affairs"
578485,Make the removal of coarse fish illegal from rivers and waterways,"Update laws to preserve the current fish in UK rivers and waterways, by changing legislation so it would be an illegal act to remove fish from a river or waterway.","Department for Environment, Food and Rural Affairs"
631767,"Require alcoholic drinks to be clearly labelled as vegetarian, vegan, or not","Many alcoholic drinks are made using Isinglass, a substance taken from the swim bladders of fish. This means many drinks are not vegetarian or vegan, but labelling is poor compared to other products. Please require manufacturers, retailers and hospitality venues to clearly label alcoholic drinks.","Department for Environment, Food and Rural Affairs"
328081,Introduce a National Pet Exchange Register,"Introduction of a Pet Exchange Register so that any person or business who is advertising to sell or give away a dog, cat, puppy or kitten will need to be enrolled on the Pet Exchange Register.    Make it an offence to advertise a dog or cat for sale or to give away without due registration.","Department for Environment, Food and Rural Affairs"
644808,Ban Staffordshire Bull Terriers under the Dangerous Dogs Act,We think that Staffordshire Bull Terriers are too dangerous and should be banned under the Dangerous Dogs Act. I have personally been attacked by one of the dogs.,"Department for Environment, Food and Rural Affairs"
330704,Close loophole allowing licensed dog breeders to broker pregnant bitches,"Licensed breeders can rotate their breeding bitches, buying in pregnant bitches swapping them for whelped. Breeders can stay within their license at any one time and always have pregnant and whelping bitches, increasing litters dealt with and sold by 5 times the number of dogs on their license.","Department for Environment, Food and Rural Affairs"
596131,Ban the advertisement of plastic and non-recyclable toys to children,Regulate which kinds of products can be advertised directly to children (e.g. during kids TV Ad Breaks) to ensure that items made from plastic and non-recyclable materials are not advertised to children.,"Department for Environment, Food and Rural Affairs"
623839,Keep retained EU environmental laws until equal or stronger UK laws introduced,"The Retained EU Law (Revocation & Reform) Bill will remove EU-derived law protecting air, water, wildlife, land and waste in 2023. We want these laws to be retained until replacement legislation is passed which delivers equal or stronger protection for nature than retained EU law.","Department for Environment, Food and Rural Affairs"
621613,Require dogs be on leads at all times in public places,There have been reports of an increase in dogs attacking other dogs whilst off the leash.,"Department for Environment, Food and Rural Affairs"
605103,Ban the sale of wood burners in the UK,"Air pollution in the UK is linked to 40,000 deaths.

Indoor air pollution has increased, though domestic combustion.

Banning the sale of wood burners protects the health and safety of citizens and neighbourhoods.","Department for Environment, Food and Rural Affairs"
567553,Suspend the coarse fishing closed season in 2021 following the national lockdown,Suspend the coarse fishing closed season in 2021 (normally 15 March - 15 June) so that fishing can continue in this period on rivers and streams after the national lockdown and fishing ban due to the COVID-19 pandemic.,"Department for Environment, Food and Rural Affairs"
618749,Require all newly planted woodland include a corridor of mixed deciduous trees,"Coniferous forests provide limited opportunities for diverse species, and we want the Government to require that any newly planted woodlands include a corridor of mixed deciduous trees, to support a more diverse set of species.","Department for Environment, Food and Rural Affairs"
594282,Create rights for full compensation for sewer flooding from sewerage undertakers,"Legislation needs to require statutory sewerage undertakers to pay full compensation for damage caused by sewer flooding, so they are fully accountable for any incentives to invest in infrastructure improvements.","Department for Environment, Food and Rural Affairs"
621583,End All Government Subsidies for Fossil Fuel Companies,"The UK is reported to have given over £13bn in subsidies to fossil fuel companies since the Paris agreement in 2015, including £10bn in tax reliefs for exploration and production. This is the third highest in the world, after India and China. These need to stop, and the money put to better use.","Department for Environment, Food and Rural Affairs"
658649,"Ban the sale, propagation and planting of the invasive plant: Spanish Bluebell","I want the Government to ban the sale, propagation and planting of the Spanish Bluebell.","Department for Environment, Food and Rural Affairs"
550730,"Ban Supertrawlers from UK waters after leaving the EUs 
Common Fisheries Policy",We request that the Government proposes a ban on supertrawlers from UK waters after the UK becomes an Independant Coastal State and is no longer restricted by the EU's Common Fisheries Policy (CFP) which allowed these huge vessels to decimate fish stocks and endanger marine ecosystems and species.,"Department for Environment, Food and Rural Affairs"
639320,Find time to take the Clean Air (Human Rights) Bill through the House of Commons,"This Bill has been agreed by the House of Lords with cross-party support and we want the Government to find time to take it through the House of Commons, so that it can become law: https://bills.parliament.uk/bills/3161","Department for Environment, Food and Rural Affairs"
564955,Extend areas reserved for domestic fishing from 6 to 12 miles by end of 2021,"We need security for our inshore fishers as well as our Bass stocks, which are often most important to smaller fishing communities, which are the ones that can struggle as a result of quota allocation.","Department for Environment, Food and Rural Affairs"
